,Age,Gender,TotYrsOfExp,MainTech,AnualSalary
549,34,Male,5,Java,72000
550,31,Male,8,Typescript,55000
551,31,Male,8,"Typescript, Web apps",67000
552,31,Male,5,Python,90000
553,27,Male,6,Python,78000
554,31,Male,9,Python,48000
555,29,Male,10,Scala,75000
556,39,Male,6,PHP,
557,35,Male,10,JavaScript,70000
558,38,Male,24,Java,
559,31,Male,10,Python,81000
560,32,Male,7,Swift,62000
561,35,Male,10,Terraform ,75000
562,28,Male,2,Java,28000
563,30,Female,6,python,63000
564,30,Male,5,,75000
565,26,Male,2,Python,31000
566,25,Male,3,Scala,58000
567,30,Male,3,,
568,27,Male,4,AWS,61200
569,28,Male,7,,
570,22,Male,4,"Java, .Net",
571,37,Female,2,Python,58000
572,25,Male,1,"Python, statistics, SQL",
573,33,Male,11,Scala,110000
574,38,Male,20,C,80000
575,31,Male,6,,76000
576,24,Male,1,C++,
577,28,Male,10,,
578,25,Male,5,Node.js,
579,26,Female,4,"Sql, BQ, tableau, gtm, ga",45000
580,29,Male,3,React ,43000
581,22,Female,4,Business Development Manager Operation ,39000
582,30,Male,4,TypeScript,70000
583,30,Male,11,Typescript,72000
584,28,Female,10,Management,75000
585,29,Male,9,Javascript / Typescript,
586,32,Male,10,Bash,
587,36,Male,4,C++,37000
588,32,Male,7,,85000
589,30,Female,4,Python,55000
590,29,Male,7,C++,70000
591,32,Female,10,Java,62000
592,34,Male,10,JS,65000
593,30,Male,6,,65000
594,40,Male,15,Python,65000
595,35,Male,15,C++,77000
596,31,Male,8,"Java, Kotlin",72000
597,38,Male,15,Python,56000
598,39,Male,10,R,80000
599,35,Male,13,Nodejs,82000
600,30,Female,5,TS,
601,29,Female,0,Python,
602,36,Male,18,C++,98000
603,41,Male,20,Python,88000
604,41,Male,18,PHP,80000
605,28,Female,6,sql,
606,33,Male,10,javascript,70000
607,31,Male,3,JavaScript ,50400
608,29,Male,5,Java,
609,23,Male,3,Java,
610,25,Male,4.5,"Spark, Pytorch",
611,34,Male,10,Java,73000
612,45,Male,30,PHP,55000
613,37,Male,15,C/C++,78000
614,31,Male,9,javascript,89000
615,32,Male,15,Golang,90000
616,45,Female,15,Java,52000
617,42,Male,16,java/scala/go/clouds/devops,
618,23,Male,4,,
619,36,Male,14,JS,73500
620,40,Male,20,C#,80000
621,28,Male,7,Java,
622,35,Male,15,C,63000
623,37,Male,12,Java,78000
624,33,Male,10,C/C++,75000
625,33,Male,13,Java,78600
626,31,Male,10,Java ,
627,31,Male,4,Java,50000
628,28,Male,3,Java,42000
629,31,Male,6,Python,53000
630,40,Male,20,Swift,230000
631,25,Female,3,Java,48000
632,35,Male,9,Python,70000
633,35,Male,15,.net,67000
634,41,Male,20,"Linux/UNIX, GIT, Virtualisation Platforms, *shell(s) scripts",56400
635,33,Male,8,AWS,72500
636,33,Male,13,Python,75000
637,38,Male,15,Java,70000
638,35,Male,10,php,78000
639,36,Female,5,Python,75000
640,49,Male,27,Java,57000
641,32,Male,10,TypeScript,90000
642,32,Female,6,Java,75000
643,27,Female,1,"Python, SQL",42000
644,31,Male,6,python,
645,31,Male,8,Swift,60000
646,28,Male,4,Java,44000
647,28,Female,3,JavaScript,52000
648,27,Male,2,DWH,97000
649,29,Male,8,JavaScript,65000
650,32,Female,10,Python,70000
651,28,Male,5,QA,58000
652,34,Female,13,python,90000
653,38,Male,16,Swift,85000
654,29,Male,3,Azure,45000
655,30,Male,7,C++,60000
656,33,Female,6,"Sketch, Figma",
657,30,Male,6,Python,
658,31,Male,5,,760000
659,37,Male,16,iOS,55000
660,32,Male,13,Kotlin,80000
661,32,Female,9,,
662,40,Male,13,,75000
663,30,Male,7,Java,82600
664,30,Male,8,JS,60000
665,32,Male,10,js,81000
666,32,Male,7,k8s,70000
667,34,Male,12,Java,69000
668,43,Male,10,Php,57600
669,33,Male,13,Java,64000
670,28,Female,8,Kotlin,64000
671,33,Male,11,Java,
672,33,Male,11,"Frontend: react, node.js",75000
673,51,Male,30,"VB, RPA, Python",50000
674,35,Male,8,Go,85000
675,35,Male,1,FBD,
676,33,Male,10,,
677,28,Male,6,"C, C++",
678,21,Female,2,,
679,25,Male,2,"Swift, Objective-C, iOS",43000
680,25,Female,1,Ruby,12000
681,32,Male,10,Ruby,68500
682,32,Male,9,Embedded,65000
683,26,Male,9,Go,95000
684,25,Male,6,JavaScript / TypeScript,66000
685,27,Female,5,Kotlin,52000
686,28,Male,7,Javascript,76000
687,32,Female,8,Java,
688,28,Male,7,Java,66000
689,34,Male,13,JavaScript,
690,35,Male,10,python,65000
691,38,Male,20,Java,130000
692,33,Male,9,Java,
693,36,Male,10,,80000
694,31,Female,8,Java,39000
695,43,Male,20,SAP / ABAP,82000
696,38,Male,15,Python,80000
697,35,Male,17,Kubrrnetes,72500
698,33,Male,6,,
699,33,Male,6,,
700,32,Male,10,python,
701,43,Male,21,,75000
702,37,Male,,C#,
703,37,Male,17,Swift,71000
704,30,Male,8,C++,69000
705,29,Male,5,iOS,58000
706,41,Male,18,JavaScript,92000
707,38,Male,4,PHP,43000
708,,Male,18,,
709,29,Male,6,TypeScript,
710,35,Male,12,JS,56000
711,41,Male,19,Java,73000
712,29,Male,0,Python,11000
713,26,Female,5,ABAP,46000
714,32,Male,12,,
715,30,Male,6,Python,
716,26,Male,3,"networking, linux, automation, cloud",
717,35,Female,4,PHP,47000
718,47,Male,25,java,
719,33,Male,10,,
720,44,Male,15,UML,
721,40,,13,python,72000
722,32,Male,13,JavaScript,65000
723,33,Male,2,Spark,60000
724,32,Male,8,"Js, reactJS ",
725,26,Male,4,Scala,46000
726,,Male,10,,80000
727,22,Diverse,1,Cobol,98000
728,43,Male,20,Java,105000
729,33,Male,11,JavaScript ,
730,35,Female,1,ABAP,50000
731,28,Male,5,JavaScript,62000
732,36,Male,16,SRE,
733,27,Male,2,Python ,
734,36,Male,4,Java,55000
735,38,Male,5,Java,60000
736,28,Male,6,Android,
737,25,Male,8,Clojure,
738,30,Male,6,Javascript,77000
739,42,Female,10,"JS, WDIO",32000
740,30,Male,8,Python,72000
741,28,Male,8,Ruby,62000
742,32,Female,9,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet",65000
743,29,Male,3,JavaScript ,
744,30,Female,8,,
745,35,Male,13,TypeScript,92000
746,33,Male,10,JS,66000
747,34,Male,13,Elixir,
748,25,Male,6,Go,80000
749,42,Female,5,Java,46000
750,25,Female,3,Python,
751,40,Male,14,Spring,65000
752,33,Male,11,Python,
753,39,Male,12,PHP ,75000
754,24,Male,2,Javascript,35000
755,24,Female,3,Java,23000
756,39,Male,15,Java,78000
757,33,Male,8,C#,56000
758,26,Male,2.5,Java,
759,29,Male,6,Swift,
760,29,Female,5,PHP,47000
761,32,Male,8,"C, C++",26000
762,34,Male,12,,56000
763,30,Male,9,Java,80000
764,31,Male,7,Python,65000
765,33,Male,8,swift,75000
766,31,Female,1,React,54000
767,36,Male,16,.Net,65000
768,30,Male,7,,
769,30,Male,8,Swift,
770,27,Male,1,Javascript,
771,39,Male,19,Golang,82000
772,30,Male,10,Офмф,
773,32,Male,11,C++,
774,35,Male,12,php,
775,34,Male,6,python,76000
776,26,Male,4,Python,60000
777,29,Male,7,Kotlin,
778,42,Male,18,React JS,75000
779,31,Male,12,Java,55000
780,30,Male,8,,
781,33,Male,10,Python,70000
782,28,Male,6,Python,75000
783,33,Male,7,,39000
784,35,Male,3,Python,60000
785,35,Male,16,Python,100000
786,31,Male,8,Typescript ,
787,32,Male,13,C,
788,38,Male,15,Go,73000
789,29,Male,9,Go,
790,33,Male,13,Java,
791,30,Male,7,,70000
792,28,Male,6,JavaScript,60000
793,32,Male,9,Python,85000
794,39,Male,10,Javascript,
795,31,Male,6,TypeScript/Angular,90000
796,33,Male,10,golang,110000
797,30,Male,8,Python,66000
798,39,Female,11,,93000
799,30,Female,2,R,
800,37,Male,15,C#,65000
801,42,Male,20,PHP,63000
802,28,Male,6,,58000
803,31,Male,9,Java,57000
804,20,Male,5,C#,
805,34,Female,1 (as QA Engineer) / 11 in total,Python,36000
806,38,Male,15,,75000
807,35,Male,20,Go,75000
808,31,Male,14,C++,
809,37,Male,11,Python,67000
810,37,Male,12,Kotlin/PHP,84000
811,34,Male,9,iOS,67000
812,25,Male,1,Python,
813,42,Male,20,C++,
814,35,Female,13,,64000
815,37,Male,8,,54000
816,33,Female,8,Python ,70000
817,26,Female,6,JavaScript,27000
818,46,Male,13,C++,68000
819,30,Male,11,,75000
820,34,Male,13,C#,65000
821,35,Male,15,Java,85000
822,27,Male,4,Go,
823,31,Male,7,python,85000
824,24,Male,2,Java,60000
825,28,Male,7,Python,75000
826,42,Male,18,PHP,
827,27,Male,5,Python,
828,30,Male,5,Python,45000
829,,Male,11,python,
830,26,Male,2,TypeScript,
831,37,Male,15,Python,75000
832,,Male,12,Java,80000
833,39,Male,8,Python,125000
834,26,Female,"2,5",JS,33000
835,30,Male,5,Python,70000
836,44,Male,10,SAP ABAP,73000
837,26,Male,5,Spark,190000
838,30,Male,10,Go,
839,26,Male,3,Python,42000
840,25,Female,1,AI,
841,34,Male,11,Python,
842,38,Female,3,Python,60000
843,40,Male,13,,75000
844,28,Male,5,Swift,50000
845,29,Female,2,R,
846,30,Female,5,pythin,46000
847,28,Male,6,C#,47500
848,,Female,1,Python,
849,42,Male,12,Java,
850,27,Male,5,Python,
851,29,Male,4,Python,53000
852,29,Male,4,R,78000
853,29,Female,1,julia,500000000
854,27,Female,1,Java,42000
855,36,Male,"15, thereof 8 as CTO",Java & PHP,120000
856,37,Male,14,Typescript,84000
857,31,Male,10,Python,
858,35,Male,5,R,48000
859,27,Male,4,Python,
860,29,Male,6,Python,
861,36,Male,5,Java,60000
862,33,Male,10,Java,70000
863,42,Male,12,Java,
864,32,Female,1,Sql ,
865,30,Male,10,Frontend,100000
866,29,Female,4,Java/Kotlin,
867,23,Male,1,Python,
868,35,Female,2,React,38000
869,36,Male,14,C++/c,78500
870,34,Male,10,SQL,65000
871,34,Male,12,Kubernetes,92000
872,31,Male,4,Python,86000
873,34,Female,7,Java,
874,31,Male,,Python,
